criterio;nivel1_def;nivel1_score;nivel2_def;nivel2_score;nivel3_def;nivel3_score;nivel4_def;nivel4_score
Clasificación de datos y análisis del error (Tarea 1);No realiza la actividad o no aporta el resumen.;0;Realiza el semáforo pero no analiza sus errores.;0.5;Realiza el semáforo, analiza su error principal y aporta el resumen descargado.;1;Además argumenta con solidez los dos lados de un caso dudoso.;2
Identificación de datos personales (pregunta 4);No identifica los datos o identifica menos de la mitad.;0;Identifica la mayoría pero no distingue de quién es cada dato.;0.375;Distingue datos propios y ajenos e identifica casi todos los elementos personales.;0.75;Identifica todos los datos personales y distingue correctamente los propios de los de terceras personas.;1.5
Calidad de la anonimización (preguntas 5 a 7);No reescribe el texto.;0;Borra datos hasta el punto de que el problema ya no se entiende, o deja datos personales sin sustituir.;0.5;Sustituye todos los datos manteniendo el sentido del texto, y comprueba que la IA responde igual de bien.;1;Además extrae la conclusión de que los datos personales no aportaban nada a la respuesta.;2
Seguridad frente a la suplantación de voz (preguntas 8 a 10);No responde.;0;Responde de forma superficial.;0.375;Identifica fuentes de voz y propone una verificación pertinente, aunque incompleta.;0.75;Identifica tres fuentes realistas de obtención de voz y propone un método de verificación válido.;1.5
Regla personal y presentación;No formula la regla o no aporta un documento comprensible.;0;Formula una regla genérica sin explicar su aplicación.;0.25;Formula una regla aplicable, pero necesita precisar cuándo o cómo la utilizaría.;0.5;Formula una regla concreta y personal en un documento claro y en los dos formatos.;1
Entrega en plazo;No entrega la actividad.;0;Entrega con retraso importante respecto al plazo comunicado.;0.5;Entrega con pequeño retraso respecto al plazo comunicado.;1;Entrega dentro del plazo establecido.;2
