criterio;nivel1_def;nivel1_score;nivel2_def;nivel2_score;nivel3_def;nivel3_score;nivel4_def;nivel4_score
Producto final funcional;No entrega producto o no funciona.;0;Producto incompleto o que solo funciona parcialmente.;0.5;Producto terminado y funcional, que cumple los requisitos mínimos del itinerario.;1;Producto terminado, funcional y con ambición: añade elementos propios más allá de lo pedido.;2
Proceso documentado (cuaderno de prompts / iteraciones / reentrenamiento);Sin documentar.;0;Documenta el resultado final pero no el camino.;0.5;Documenta al menos tres pruebas o iteraciones, sus resultados y los cambios o decisiones adoptados.;1;Documenta el proceso completo y justifica cada decisión tomada.;2
Espíritu crítico: detectar y corregir fallos;No aporta pruebas del funcionamiento ni analiza resultados.;0;Aporta alguna prueba pero no interpreta el resultado ni propone comprobaciones adicionales.;0.5;Realiza pruebas pertinentes, explica los límites observados y corrige los fallos detectados o justifica el resultado obtenido.;1;Justifica las pruebas y las correcciones, relaciona sus resultados con lo aprendido y explica qué limitaciones siguen sin comprobarse.;2
Ficha de transparencia;No la entrega.;0;La entrega incompleta o sin evidencias de lo que afirma.;0.25;Identifica herramientas y aportaciones propias con evidencias, aunque falta algún detalle del proceso.;0.5;Ficha completa, honesta y concreta, que distingue con claridad su aportación de la de la IA.;1
Trabajo en equipo y autonomía;No colabora o depende por completo del profesor.;0;Colabora de forma desigual o necesita apoyo constante.;0.25;Participa en las tareas asignadas y afronta los bloqueos, con alguna ayuda para coordinar o planificar.;0.5;Reparto de trabajo equilibrado, resuelve los bloqueos con autonomía y pide ayuda de forma pertinente.;1
Entrega en plazo;No entrega la actividad.;0;Entrega con retraso importante respecto al plazo comunicado.;0.5;Entrega con pequeño retraso respecto al plazo comunicado.;1;Entrega dentro del plazo establecido.;2
