criterio;nivel1_def;nivel1_score;nivel2_def;nivel2_score;nivel3_def;nivel3_score;nivel4_def;nivel4_score
Comprensión del mecanismo de predicción (Tareas 1 y 2);No realiza las pruebas.;0;Realiza las pruebas pero no interpreta los resultados.;0.5;Explica correctamente el efecto de la temperatura y qué son los tokens.;1;Interpreta tokens y temperatura, relaciona los resultados con el funcionamiento del modelo y distingue probabilidad de veracidad.;2
Tabla del duelo de modelos (Tarea 3);No la realiza o la deja incompleta.;0;Completa menos de la mitad de las filas.;0.5;Completa la tabla con los dos modelos en casi todas las filas.;1;Tabla completa, con las respuestas resumidas con precisión y con la valoración de quién acierta en cada caso.;2
La prueba de la adulación (Tarea 4);No la realiza.;0;Aporta la captura sin interpretarla.;0.5;Describe correctamente lo ocurrido y lo compara entre los dos modelos.;1;Compara los resultados, identifica si hubo cambio por presión y justifica cómo verificar la respuesta sin atribuir sinceridad al modelo.;2
Conclusión crítica final (Tareas 5 y 6);No responde.;0;"Responde con una generalidad (""no hay que fiarse"").";0.5;Distingue en qué casos es fiable y en cuáles no, y propone alguna forma de comprobarlo.;1;Propone un criterio de verificación propio, claro y aplicable, apoyado en lo que ha observado.;2
Entrega en plazo;No entrega la actividad.;0;Entrega con retraso importante respecto al plazo comunicado.;0.5;Entrega con pequeño retraso respecto al plazo comunicado.;1;Entrega dentro del plazo establecido.;2
