criterio;nivel1_def;nivel1_score;nivel2_def;nivel2_score;nivel3_def;nivel3_score;nivel4_def;nivel4_score
1. Ejecución en terminal;No se usan comandos de terminal para la actividad o no se han entregado las capturas de pantalla.;0;Solo algunos pasos se hacen en terminal, o bien la mayoría de comandos son erróneos.;1;La mayoría de pasos se hacen en terminal, pero hay algún error menor o faltan comandos en las capturas de pantalla.;2;Todos los pasos se realizan correctamente con comandos de terminal, sin errores.;4
2. Resultado final;No entrega un resultado válido.;0;El resultado es incompleto (faltan bastantes partes o archivos).;1;El resultado final tiene fallos menores (alguna carpeta mal ubicada o falta algún archivo).;2;La estructura de carpetas está bien hecha, las fotos bien organizadas y el archivo recetas.zip es correcto y completo.;4
3. Entrega en plazo;No entrega o entrega con retraso de más de una semana.;0;Entrega con un retraso importante (hasta 1 semana).;0.5;Entrega con un pequeño retraso (máx. 2 días).;1;Entrega en plazo recetas.zip y las capturas de pantalla son claras y completas (se ven comandos y usuario).;2
