criterio;nivel1_def;nivel1_score;nivel2_def;nivel2_score;nivel3_def;nivel3_score;nivel4_def;nivel4_score
Resolución de niveles (1a, 1b, 1c);No supera ningún nivel o el código no es funcional.;0;Supera solo 1 nivel correctamente o presenta soluciones incompletas con instrucciones erróneas.;1,75;Supera 2 niveles correctamente, o supera los 3 niveles pero con instrucciones redundantes o sin optimizar.;3,5;Supera con éxito los 3 niveles (1a, 1b y 1c) con algoritmos claros, directos y sin instrucciones innecesarias.;7
Presentación de capturas;Sin capturas o las imágenes son completamente ilegibles o no corresponden a la actividad.;0;Aporta solo alguna captura o faltan datos esenciales (no se aprecian las instrucciones o los archivos están mal nombrados).;0,25;Aporta las capturas de los 3 niveles legibles, pero falta rotular el nombre y apellidos o algún archivo no sigue el formato indicado.;0,5;Capturas de pantalla nítidas y completas de los 3 niveles, con instrucciones visibles, nombre rotulado y archivos nombrados como 1a.png, 1b.png y 1c.png.;1
Entrega en plazo;Entrega tarde sin justificación o no entrega.;0;Entrega con retraso importante (más de 2 días).;0,5;Entrega con pequeño retraso (hasta 2 días).;1;Entrega puntual dentro del plazo establecido.;2
