criterio;nivel1_def;nivel1_score;nivel2_def;nivel2_score;nivel3_def;nivel3_score;nivel4_def;nivel4_score
Entrenamiento correcto del modelo (Tarea 1);No consigue entrenar el modelo o no aporta capturas.;0;Entrena el modelo pero no documenta la prueba con el porcentaje de confianza.;0.5;Entrena las tres clases y prueba el modelo, pero falta alguna evidencia o explicación del resultado.;1;Modelo entrenado con las tres clases, probado correctamente y documentado con captura legible.;2
Comprensión del reparto de probabilidad (Tarea 2);No realiza el experimento.;0;"Aporta la captura pero no explica por qué el modelo no puede decir ""no lo sé"".";0.5;Explica correctamente que el modelo reparte el 100 % entre las clases que conoce.;1;Explica el reparto entre clases y por qué una entrada ajena a ellas puede recibir una puntuación alta sin ser una clasificación válida.;2
Experimentos de ruptura (Tarea 3);No realiza ninguno.;0;Realiza uno de los tres con su explicación.;0.625;Realiza dos de los tres con sus capturas y explicaciones correctas.;1.25;Realiza los tres, documentados y correctamente interpretados.;2.5
Conclusión sobre el papel de los datos (Tarea 4);No responde o responde sin relación con lo experimentado.;0;"Concluye que ""hacen falta muchos datos"", sin más.";0.375;Relaciona el resultado con dos aspectos de los datos y utiliza algún ejemplo de sus pruebas.;0.75;Concluye que la calidad del modelo depende de la cantidad, el equilibrio y la variedad de los datos, apoyándose en sus propios experimentos.;1.5
Entrega en plazo;No entrega la actividad.;0;Entrega con retraso importante respecto al plazo comunicado.;0.5;Entrega con pequeño retraso respecto al plazo comunicado.;1;Entrega dentro del plazo establecido.;2
