criterion_name;level1_def;level1_score;level2_def;level2_score;level3_def;level3_score;level4_def;level4_score
1. Portada y Estilos de página;No aplica estilos de página diferenciados. La portada incluye encabezado/pie de las demás páginas.;0;Aplica el estilo "Primera página" pero la portada carece de formatos visuales (borde, área) o datos del alumno.;0,5;Configura la portada sin encabezado/pie, pero comete errores en bordes (1,5 pt con 1,0 cm separación), fondo de área o personalización de Título/Subtítulo.;1;Portada impecable con estilo "Primera página" (sin cabecera/pie), borde azul de 1,5 pt con separación de 1,0 cm, área de fondo suave, estilos Título (38 pt) y Subtítulo (18 pt) actualizados y datos a la derecha.;1,5
2. Formato de carácter y párrafo avanzado;No aplica sangrías, letras capitulares ni formatos avanzados de párrafo o carácter.;0;Aplica algún formato pero omite la letra capitular, la sangría de primera línea o el párrafo destacado.;0,5;Configura el texto principal (Justificado, 1,5 líneas, espaciado 0,35 cm) pero la letra capitular (3 líneas, 0,2 cm) o sangría (1,25 cm) son incorrectas.;1;Formato de párrafo impecable: Título 1 actualizado (16 pt azul), letra capitular exacta en 1er párrafo, sangría de 1,25 cm en 2º, efectos de carácter (negrita azul y resaltado amarillo) y estilo callout destacado perfecto.;1,5
3. Secciones y columnas con personalización;No crea secciones ni divide el texto en columnas.;0;Divide en columnas pero no utiliza una sección con fondo personalizado ni línea de separación.;0,35;Crea la sección de 2 columnas con fondo pastel, pero descuida la sangría de sección (0,5 cm) o la línea de separación sólida.;0,7;Sección de dos columnas (8,25 cm ancho, 0,5 cm espaciado) perfectamente estructurada con línea de separación de 0,5 pt, fondo pastel y sangrías de sección laterales de 0,5 cm.;1
4. Imágenes con leyendas y tablas comparativas;Inserta imágenes y tabla sin formato ni leyendas.;0;Inserta imágenes pero sin fondo transparente o sin leyendas automáticas de ilustración.;0,5;Tabla comparativa 4x5 insertada pero carece de centrado vertical de celdas, bordes personalizados o leyenda automática de tabla.;1;Dos imágenes transparentes con leyendas automáticas. Tabla 4x5 con cabecera azul/blanco centrada, texto centrado verticalmente, bordes personalizados y leyenda automática de tabla.;1,5
5. Secciones horizontales y tabla cronológica;No alterna la orientación de página a horizontal ni crea la tabla cronológica.;0;Cambia la orientación pero sin utilizar saltos de página manuales con cambio de estilo de página.;0,5;Página horizontal correcta con la tabla, pero omite las imágenes representativas en la columna adicional, el párrafo introductorio o la leyenda automática.;1;Alternancia perfecta a página horizontal mediante saltos manuales ("Horizontal" y retorno a "Predeterminado"), tabla ancha de 6 columnas con imágenes, párrafo introductorio y leyenda automática.;1,5
6. Encabezados y pies de página dinámicos;No añade encabezado ni pie de página, o escribe el texto manualmente sin campos.;0;Inserta encabezado y pie pero sin utilizar campos automáticos (Fecha, Número de página, Total de páginas) o no aplica formato/borde al encabezado.;0,35;Utiliza campos dinámicos pero omite el formato del encabezado (10pt, borde inferior azul 0,5pt), la numeración Página X de Y o no se aplica a páginas horizontales.;0,7;Encabezado (10pt, borde inferior azul 0,5pt con Fecha) y pie dinámico (Página X de Y) aplicados en todas las páginas (verticales y horizontales) manteniendo la Portada limpia.;1
7. Entrega en plazo;No entrega o entrega con un retraso de más de una semana.;0;Entrega con un retraso importante de hasta una semana.;0,5;Entrega con un pequeño retraso de máximo 2 días.;1;Entrega la actividad a tiempo dentro del plazo establecido.;2
